Sample : Ni
Pre-Pulse  Slope = 8.407258E-3 +/- 2.093157E-4 Intercept = 5.853712E+0 +/- 5.079229E-4 Residue = 3.413946E-9
Heat Pulse  Slope = 8.303624E-2 +/- 8.990373E-4 Intercept = 5.438751E+0 +/- 6.775275E-3 Residue = 3.804583E-8
Post-Pulse  Slope = 5.835659E-3 +/- 1.530698E-3 Intercept = 6.248523E+0 +/- 1.918430E-2 Residue = 1.102090E-7
Sample Voltage = 4.000000E-1 Sample Voltage Uncertainty = 1.000000E-3
Sample Current = 5.020110E+0 Sample Current Uncertainty = 1.000000E-5
t(s)	T(K)	dT(K)
13.121751	8.273030	0.010000
13.223756	8.272781	0.010000
13.325762	8.274272	0.010000
13.428768	8.274881	0.010000
13.530774	8.275280	0.010000
13.633780	8.275699	0.010000
13.736786	8.274964	0.010000
13.838792	8.276905	0.010000
13.941798	8.277268	0.010000
14.043803	8.277921	0.010000
14.145809	8.278396	0.010000
14.247815	8.277316	0.010000
14.350821	8.278277	0.010000
14.452827	8.279124	0.010000
14.554832	8.279753	0.010000
14.656838	8.279981	0.010000
14.758844	8.281087	0.010000
14.860850	8.280554	0.010000
14.963856	8.281582	0.010000
15.065862	8.281414	0.010000
Sample : Ni
